,date,file_name,time,target_is_broken,location
70,02-01-2024,SHOT0007,8.5,True,"(879.4456787109375, 277.8638000488281)"
71,02-01-2024,SHOT0007,9.0,False,"(1156.492431640625, 512.0128784179688)"
72,02-01-2024,SHOT0007,9.5,False,"(1255.1019287109375, 660.78369140625)"
73,02-01-2024,SHOT0007,1.0,False,"(1390.849609375, 623.7210083007812)"
74,02-01-2024,SHOT0007,10.0,False,"(1301.17724609375, 683.833251953125)"
75,02-01-2024,SHOT0007,10.5,False,"(1250.117919921875, 643.9822387695312)"
76,02-01-2024,SHOT0007,11.0,False,"(1203.5440673828125, 639.1240234375)"
77,02-01-2024,SHOT0007,11.5,False,"(1151.98388671875, 679.832763671875)"
78,02-01-2024,SHOT0007,12.0,False,"(940.0052490234375, 796.40576171875)"
79,02-01-2024,SHOT0007,12.5,True,"(896.5288696289062, 422.697998046875)"
80,02-01-2024,SHOT0007,13.0,False,"(1287.188232421875, 432.58514404296875)"
81,02-01-2024,SHOT0007,13.5,False,0
82,02-01-2024,SHOT0007,1.5,False,"(1282.46533203125, 687.9251708984375)"
83,02-01-2024,SHOT0007,2.0,False,"(1207.4356689453125, 691.7373046875)"
84,02-01-2024,SHOT0007,2.5,False,"(1168.995849609375, 691.86572265625)"
85,02-01-2024,SHOT0007,3.0,False,0
86,02-01-2024,SHOT0007,3.5,False,"(917.8517456054688, 853.3225708007812)"
87,02-01-2024,SHOT0007,4.0,False,"(1513.628173828125, 680.1714477539062)"
88,02-01-2024,SHOT0007,4.5,False,"(2480.696044921875, 447.0172119140625)"
89,02-01-2024,SHOT0008,0.0,False,"(1384.62890625, 484.8124084472656)"
90,02-01-2024,SHOT0008,0.5,False,"(1321.724853515625, 567.8748779296875)"
91,02-01-2024,SHOT0008,5.0,True,"(2385.302734375, 1238.035888671875)"
92,02-01-2024,SHOT0008,5.5,False,0
93,02-01-2024,SHOT0008,6.0,True,"(1948.552001953125, 895.7432861328125)"
94,02-01-2024,SHOT0008,6.5,False,0
95,02-01-2024,SHOT0008,7.0,False,"(1462.910888671875, 1085.999755859375)"
96,02-01-2024,SHOT0008,7.5,True,"(2218.94384765625, 956.765625)"
97,02-01-2024,SHOT0008,8.0,False,"(393.53399658203125, 329.37725830078125)"
98,02-01-2024,SHOT0008,8.5,False,"(1016.0067749023438, 493.0244140625)"
99,02-01-2024,SHOT0008,9.0,False,"(1370.98974609375, 567.13525390625)"
100,02-01-2024,SHOT0008,9.5,False,0
101,02-01-2024,SHOT0008,1.0,False,"(1274.633056640625, 634.6942749023438)"
102,02-01-2024,SHOT0008,10.0,True,"(1409.2723388671875, 641.427734375)"
103,02-01-2024,SHOT0008,10.5,False,"(1280.1893310546875, 648.7533569335938)"
104,02-01-2024,SHOT0008,11.0,True,"(1175.15625, 635.5313720703125)"
105,02-01-2024,SHOT0008,11.5,True,"(1557.291015625, 1149.361083984375)"
106,02-01-2024,SHOT0008,12.0,False,0
107,02-01-2024,SHOT0008,12.5,False,0
108,02-01-2024,SHOT0008,13.0,False,0
109,02-01-2024,SHOT0008,1.5,False,"(1233.8740234375, 668.8681640625)"
110,02-01-2024,SHOT0008,2.0,False,"(1199.2979736328125, 681.6802978515625)"
111,02-01-2024,SHOT0008,2.5,False,"(1143.0013427734375, 705.6412353515625)"
112,02-01-2024,SHOT0008,3.0,False,"(1112.5208740234375, 808.2127075195312)"
113,02-01-2024,SHOT0008,3.5,False,"(1102.0771484375, 657.84228515625)"
114,02-01-2024,SHOT0008,4.0,False,"(1767.9818115234375, 450.0417785644531)"
115,02-01-2024,SHOT0008,4.5,False,0
116,02-01-2024,SHOT0009,0.0,False,"(1517.5811767578125, 327.00823974609375)"
117,02-01-2024,SHOT0009,0.5,False,"(1472.0218505859375, 533.0926513671875)"
118,02-01-2024,SHOT0009,5.0,True,"(2426.7294921875, 726.6912841796875)"
119,02-01-2024,SHOT0009,5.5,False,0
120,02-01-2024,SHOT0009,6.0,True,"(1736.419677734375, 1034.33251953125)"
121,02-01-2024,SHOT0009,6.5,True,"(2560.5654296875, 1028.065673828125)"
122,02-01-2024,SHOT0009,7.0,True,"(86.98741912841797, 132.4905242919922)"
